Name,Type,Address,City,Phone,Services,Manager,X,Y,Week days,Friday,Rating
אבו סביח אמין - צמיגי בקעה,מוסך מורשה,דרך בית לחם 11,ירושלים,02-6481555,תיקון והחלפת צמיגים,אבו סביח אמין,221295.0,629988.0,07:00 - 16:30,07:00 - 12:00,3.4
מוסך רמ ר (1987)בע מ,מוסך מורשה,המרכבה 15,אשקלון,08-6759995,מכונאות רכב בנזין,קאבח יאיר,161621.45,619506.02,07:00 - 16:00,07:00 - 12:30,3.8
שרות אוטומובילים - וייס אמנון,מוסך מורשה,אורט 1,אשקלון,08-6734303,תיקון והחלפת צמיגים,וייס אמנון,159122.46,619593.33,07:00 - 16:30,07:00 - 12:00,3.9
א.ארגמן סוכנות דרום בע מ,מוסך מורשה,המלאכה 18,באר שבע,08-6278184,מכונאות רכב בנזין,ארגמני גדעון,180507.25,571784.49,07:00 - 16:30,07:00 - 13:00,3.3
מוסך איציק - זאיבלב ולדיסלב,מוסך מורשה,הנגרים 13,באר שבע,08-6275980,תיקון מרכבי רכב,שלום יצחק,181204.42,572402.29,07:00 - 16:30,סגור,3.2
אגד חברה לתחבורה  בע מ,מוסך מורשה,הברזל 1,באר שבע,03-9143418,מכונאות רכב דיזל,ששי דניאל,181641.71,569232.74,07:00 - 17:00,07:00 - 13:00,4.3
מוסך ביליה פחחות- שרלי,מוסך מורשה,אנילביץ 3,באר שבע,08-6276450,תיקון מרכבי רכב,ביליה שרלי,179943.93,571754.56,07:00 - 17:00,07:00 - 12:30,3.5
מוסך באר-שבע בן דוד,מוסך מורשה,המלאכה 7,באר שבע,08-6232198,תיקון מרכבי רכב,בן דוד יצחק,180703.29,571665.92,07:00 - 16:00,07:00 - 12:30,3.4
צמיגי יוסי זוארץ (1994) בע מ,מוסך מורשה,ראם 11,תל אביב -יפו,03-5616754,תיקון והחלפת צמיגים,גבאי אברהם,180244.5,663974.94,07:00 - 16:30,07:00 - 12:00,4.2
פליקס בע מ,מוסך מורשה,טברסקי 5,תל אביב -יפו,03-6278000,מכונאות רכב בנזין,טורנר עמיר,180204.82,663640.25,07:00 - 17:00,07:00 - 12:00,4.3
מוסך מאירמן יחזקאל,מוסך מורשה,סגולה 2,פתח תקווה,03-9313022,מכונאות רכב בנזין,מאירמן יחזקאל,189700.53,667185.03,07:00 - 16:00,07:00 - 13:00,4.4
כהן חיים מוסך מאיר למכונאות,מוסך מורשה,אילת 56,תל אביב -יפו,03-6825722,מכונאות רכב בנזין,כהן חיים,178151.18,662986.5,07:00 - 16:00,07:00 - 12:30,3.7
שמואלוב אליעזר - מוסך אהרון,מוסך מורשה,העליה 54,תל אביב -יפו,03-6826738,מכונאות אופנועים וקטנועים,שמואלוב אליעזר,178689.6,662666.36,07:00 - 16:00,07:00 - 12:00,4.5
אוטו גלס זגגות רכב בע מ,מוסך מורשה,המסגר 74,תל אביב -יפו,03-5620833,זגגות רכב,זכאי דוד עמרם,180095.87,663983.99,07:00 - 16:00,07:00 - 12:00,4.1
ש. קלעי ובנו בע מ,מוסך מורשה,טברסקי 7,תל אביב -יפו,03-5620345,מכונאות רכב בנזין,רושני דני,180213.61,663681.04,07:00 - 16:00,07:00 - 12:00,3.5
מוסך קרל בע מ,מוסך מורשה,היצירה 23,רמת גן,03-7515451,מכונאות רכב בנזין,ליליאן גיא,181465.61,665974.87,07:00 - 16:30,07:00 - 12:00,4.5
קופמן ישראל מוסך,מוסך מורשה,אברבנאל 7,תל אביב -יפו,03-6839047,מכונאות רכב בנזין,קופמן ישראל,178161.28,662859.84,07:00 - 16:30,07:00 - 12:30,4.8
שואף אריה צמיגים,מוסך מורשה,זבוטינסקי 37,רמת גן,03-7515089,תיקון והחלפת צמיגים,שואף יוסף,181952.58,665707.49,07:00 - 17:00,07:00 - 13:00,4.9
מוסך אקשטייןבע מ,מוסך מורשה,המנוע 10,תל אביב -יפו,03-6822629,תיקון מרכבי רכב,אקשטיין משה,177977.78,661933.47,07:00 - 16:00,סגור,4.3
חי לוי קור בע מ,מוסך מורשה,ישראל בק 22,תל אביב -יפו,03-5614471,שירות תיקון למזגן אויר לרכב,לוי ששון,180357.58,663953.03,07:00 - 16:00,סגור,4.3
חנאניא ויקטור צמיגי אנטון חנניה,מוסך מורשה,יפת 88,תל אביב -יפו,03-6828584,תיקון והחלפת צמיגים,חנאניא ויקטור,176766.08,661487.56,07:00 - 16:30,07:00 - 13:00,4.8
מ.א. ליין )ש.א.( בע מ,מוסך מורשה,וסרמן 7,תל אביב -יפו,03-5376499,תיקון מרכבי רכב,פלאס קוסטה,177747.68,662565.74,07:00 - 17:00,07:00 - 12:30,3.3
מוסך מוטי יעל ליסינג בע מ,מוסך מורשה,אילת 9,תל אביב -יפו,057-7578338,מכונאות רכב בנזין,שלו מרדכי,177598.19,662743.01,07:00 - 17:00,07:00 - 13:00,4.5
בית הצמיג חברת צמיגים בע מ,מוסך מורשה,הרכבת 4,תל אביב -יפו,03-5601189,תיקון והחלפת צמיגים,בן ארי שמואל,178968.74,663375.36,07:00 - 17:00,07:00 - 12:00,3.9
מוסך א. אהרון 2010 בע מ,מוסך מורשה,הרצל 2,ראשון לציון,03-9693020,מכונאות רכב בנזין,בן משה יעקב,181816.54,653322.39,07:00 - 17:00,סגור,4.0
שרף אילן מוסך פנחס,מוסך מורשה,פוריה 27,תל אביב -יפו,03-6826424,תיקון מרכבי רכב,שרף אילן,177838.46,662518.0,07:00 - 17:00,07:00 - 12:00,3.5
חיים ודרור מוסך הדרום 2018,מוסך מורשה,אמוראים 1,רחובות,054-8166622,מכונאות רכב בנזין,חיים מיזרחי,182704.71,643592.42,07:00 - 17:00,07:00 - 13:00,4.6
אוטו אור רמלה 2008 בע מ,מוסך מורשה,הרצל 135,רמלה,08-8228191,חשמלאות רכב,אל חטיב סעיד,188902.56,647777.9,07:00 - 16:30,07:00 - 12:30,3.4
שעיא סמיר,מוסך מורשה,סגולה 4,תל אביב -יפו,03-6821149,תיקון מרכבי רכב,שעיא סמיר,177519.24,662652.96,07:00 - 17:00,07:00 - 12:00,3.1
משאלוב צפריר אופנועי הקריה,מוסך מורשה,יצחק שדה 40,תל אביב -יפו,03-5621578,מכונאות אופנועים וקטנועים,משאלוב צפריר,180155.82,663585.62,07:00 - 16:30,סגור,4.4
מישאלוב אילן מוסך המהיר,מוסך מורשה,דרך פת 110,תל אביב -יפו,03-5626641,מכונאות אופנועים וקטנועים,משאלוב אילן,180248.42,664216.65,07:00 - 16:00,07:00 - 13:00,3.6
מוסך פריצל דוד,מוסך מורשה,הרצל 138,רחובות,08-9452074,מכונאות אופנועים וקטנועים,פריצל דוד,182387.3,644390.62,07:00 - 16:00,07:00 - 12:00,3.9
פרנסיס אריה מוסך חיים,מוסך מורשה,יצחק שדה 33,תל אביב -יפו,03-5622165,תיקון מרכבי רכב,פרנסיס אריה,180164.53,663618.18,07:00 - 17:00,07:00 - 12:00,4.0
חן שמעון מוסך אלי אשכנזי,מוסך מורשה,וסרמן 4,תל אביב -יפו,03-6825316,מכונאות רכב בנזין,חן שמעון,177755.49,662504.28,07:00 - 17:00,07:00 - 12:00,3.5
משאלוב אלי אבי גל אופנועים,מוסך מורשה,דרך פת 25,תל אביב -יפו,03-5602755,מכונאות אופנועים וקטנועים,מישאלוף רמי רן,179409.14,663485.89,07:00 - 16:00,07:00 - 12:30,4.8
סקסיק הני מוסך יפו למכונאות,מוסך מורשה,שלמה 12,תל אביב -יפו,03-6819364,מכונאות רכב בנזין,סקסיק האני,181458.35,663103.57,07:00 - 16:30,סגור,4.2
מוסך הידרוסטופ נפתלי בע מ,מוסך מורשה,הבנאי 26,חולון,03-5506814,מסגרות רכב )תיקון ארגזים),רובל זאב,181549.08,657934.38,07:00 - 16:30,07:00 - 12:00,3.2
חיימוב אדוארד מוסך הצפירה,מוסך מורשה,הצפירה 15,תל אביב -יפו,03-6876331,מכונאות רכב בנזין,חיימוב אדוארד,179550.24,663218.01,07:00 - 16:00,סגור,4.6
שרותי כיוון פרונט התחייה בע מ,מוסך מורשה,התחיה 22,תל אביב -יפו,03-6826858,תיקון וכוון מתלים ברכב,כהן אורי,177916.43,661893.76,07:00 - 17:00,07:00 - 12:00,4.5
קבוצת שגריר שירותי רכב בע מ,מוסך מורשה,המקצוע 3,תל אביב -יפו,03-6872908,תיקון מרכבי רכב,כחלון דוד,179843.92,663137.31,07:00 - 16:30,07:00 - 12:00,3.2
קרן משאבות בע מ,מוסך מורשה,הבנאי 4,חולון,03-5588070,מכונאות רכב בנזין,מזוז כליפה,181746.22,658222.44,07:00 - 17:00,07:00 - 12:30,3.0
קרסו מוטורס (2007) בע מ,מוסך מורשה,ריבל 24,תל אביב -יפו,03-6381100,מכונאות רכב בנזין,יונתנוב רפאל,179743.28,663316.92,07:00 - 16:00,סגור,4.6
בצלאל גיא-אלגק גיאגלס,מוסך מורשה,טברסקי 8,תל אביב -יפו,054-2270126,זגגות רכב,בצלאל גיא,180243.34,663699.24,07:00 - 16:30,07:00 - 12:00,3.1
אדמון יעקב המהיר,מוסך מורשה,הרצל 119,לוד,08-9222868,תיקון והחלפת צמיגים,אדמון יעקב,190488.09,651715.88,07:00 - 16:30,07:00 - 12:00,4.7
אסקרוב חיים מוסך אמיר,מוסך מורשה,גולומב 46,תל אביב -יפו,03-6912662,אוטוטק רכב קל,בן בסט יניב,179638.5,662248.29,07:00 - 16:00,סגור,3.6
סרנגה ישראל מוסך מעוז,מוסך מורשה,הנציב 4,תל אביב -יפו,03-5616657,תיקון מרכבי רכב,סרנגה ישראל,180305.25,663890.03,07:00 - 16:00,07:00 - 12:30,4.0
וייס עירן ספידומטר,מוסך מורשה,הנציב 19,תל אביב -יפו,03-5618372,תיקון מחוונים,וייס עירן,180318.48,664083.18,07:00 - 17:00,סגור,4.1
סלמון יצחק מוסך סלמון,מוסך מורשה,יצחק שדה 27,תל אביב -יפו,03-5622407,מכונאות אופנועים וקטנועים,סלומון יצחק,180112.11,663626.77,07:00 - 16:00,07:00 - 13:00,4.8
משולם עוזיאל מוסך עוזי בייק,מוסך מורשה,ההגנה 27,תל אביב -יפו,03-5372747,מכונאות אופנועים וקטנועים,סימן טוב יוסף,179945.42,662426.88,07:00 - 16:00,סגור,3.8
עזריה אריה מוסך טיל,מוסך מורשה,שונצינו 21,תל אביב -יפו,03-5621388,תיקון אחזקת רכב חשמלי/היברידי,גומעה מוחמד,180121.37,663905.91,07:00 - 17:00,07:00 - 13:00,3.7
המדביק בע מ,מוסך מורשה,בית אלפא 16,תל אביב -יפו,03-5617744,שיפוץ מכללי בלמים,עמרה רפאל,180264.24,663634.71,07:00 - 16:30,07:00 - 12:30,3.2
ניסים את שלמה בע מ,מוסך מורשה,אמץ 1,תל אביב -יפו,050-5204452,תיקון מרכבי רכב,סלמאן דוד,177766.57,662376.61,07:00 - 17:00,07:00 - 12:00,3.2
צפאני יחזקאל שרות יחזקאל,מוסך מורשה,הקישון 64,תל אביב -יפו,03-6826260,מכונאות אופנועים וקטנועים,צאפני יחזקאל,178434.65,662600.18,07:00 - 16:30,07:00 - 13:00,4.0
קפיצים לרכב חמילבסקי בע מ,מוסך מורשה,תמנע 17,חולון,03-5500731,תיקון קפיצים ברכב מנועי,מסארוה ראיד,181187.02,659087.83,07:00 - 16:30,07:00 - 13:00,3.2
מוסך האח הגדול - תומר לוי,מוסך מורשה,גרשון 42,תל אביב -יפו,03-5620333,מכונאות רכב בנזין,תומר לוי,180450.31,664001.91,07:00 - 16:30,07:00 - 12:00,4.5
סורני צדוק מוטו טי אל וי בעמ,מוסך מורשה,לבנדה 36,תל אביב -יפו,03-5377626,מכונאות אופנועים וקטנועים,סורני אלי,179675.08,662726.62,07:00 - 16:00,סגור,5.0
מזרחי משה,מוסך מורשה,פוריה 4,תל אביב -יפו,03-6831460,תיקון מרכבי רכב,מזרחי משה,177538.57,662533.47,07:00 - 16:30,07:00 - 13:00,3.9
רובין כדורי מוסך כדורי,מוסך מורשה,שניצלר 4,תל אביב -יפו,03-6823732,מכונאות רכב בנזין,רובין כדורי,177849.45,662550.67,07:00 - 16:30,סגור,3.5
דרכים מרכזי שירות לרכב בע מ,מוסך מורשה,מיטב 4,תל אביב -יפו,077-3019400,תיקון מרכבי רכב,כהן משה,180801.3,663624.77,07:00 - 16:30,סגור,3.0
נח פיזק - מוסך תיבת נח,מוסך מורשה,יקנעם 13,תל אביב -יפו,03-6817475,מכונאות רכב בנזין,פיזק נח,180864.8,664877.58,07:00 - 16:30,07:00 - 12:30,4.7
מוסך ונטורה בע מ,מוסך מורשה,טברסקי 16,תל אביב -יפו,03-5614863,מכונאות רכב בנזין,בנאי יורם,180253.61,663755.74,07:00 - 17:00,סגור,3.3
שמעון זנקו מוסך צוות לעניין,מוסך מורשה,הבנאי 10,חולון,03-5502242,תיקון מרכבי רכב,שמעון זנקו,181694.44,658143.71,07:00 - 16:00,סגור,3.5
מוסך אלי כהן בע מ,מוסך מורשה,פוריה 25,תל אביב -יפו,03-6828298,תיקון מרכבי רכב,כהן אליהו,177824.84,662527.07,07:00 - 17:00,סגור,3.4
מוסך ז'בנר מאיר בע מ,מוסך מורשה,לבנדה 51,תל אביב -יפו,03-6872813,תיקון מרכבי רכב,צורי דוד,179688.84,662878.97,07:00 - 17:00,07:00 - 13:00,3.7
כהן סמי שרותי חשמל,מוסך מורשה,בר כוכבא 14,חולון,03-5500938,חשמלאות רכב,כהן סמי,180376.64,658035.98,07:00 - 17:00,07:00 - 12:00,4.4
כהן את קונצק מוסך מגן,מוסך מורשה,תושיה 20,תל אביב -יפו,03-5618079,מכונאות רכב בנזין,קונצ'ק יעקב,180326.98,663750.93,07:00 - 16:30,07:00 - 12:00,3.8
בדש ציון מוסך הדלק,מוסך מורשה,האורגים 15,בת ים,03-5520742,חשמלאות רכב,בדש ציון,176110.54,657490.38,07:00 - 17:00,07:00 - 13:00,3.1
אלכס חשמל רכב - דורון ויאיר,מוסך מורשה,משכית 15,הרצלייה,052-4849080,מכונאות רכב בנזין,לוזון רחמים,182387.07,674636.89,07:00 - 16:30,סגור,3.4
שלמה לוי מוסך המלאכה,מוסך מורשה,המלאכה 17,חולון,03-5595004,מכונאות רכב בנזין,לוי שלמה,181479.68,658383.91,07:00 - 16:30,07:00 - 12:30,3.9
אילן קארגלס בע מ,מוסך מורשה,ישראל בק 5,תל אביב -יפו,03-5617076,זגגות רכב,בחמן נוריאל,180155.58,664017.68,07:00 - 17:00,07:00 - 12:30,5.0
טואיטו אלי המרכז,מוסך מורשה,גלגל 12,רחובות,08-9464115,מכונאות רכב בנזין,טויטו אלי,179544.06,643964.43,07:00 - 16:00,07:00 - 13:00,4.1
ב.ג מוסכים 2000 בע מ,מוסך מורשה,בית אלפא 6,תל אביב -יפו,03-5374011,מכונאות רכב בנזין,שוורץ אבי,180139.43,663659.08,07:00 - 17:00,07:00 - 13:00,4.6
אלוס צבי תיקון צמיגים,מוסך מורשה,דובנוב 7,תל אביב -יפו,03-6959976,תיקון והחלפת צמיגים,אלוס צבי,179696.26,664716.1,07:00 - 16:00,סגור,4.6
מוסך בראשית בע מ,מוסך מורשה,שמוטקין 21,ראשון לציון,03-9333990,מכונאות רכב בנזין,חסון גבריאל,182318.2,653862.35,07:00 - 16:00,סגור,3.4
מובילים וייט קומינס בערבון מוגבל,מוסך מורשה,החופר 28,חולון,073-2286104,מכונאות רכב בנזין,גולדנשטין איליה,181763.71,657643.14,07:00 - 17:00,07:00 - 13:00,4.9
יוסף אלעוברה מוסך לב העיר,מוסך מורשה,אצל 17,רמלה,054-9750115,תיקון מרכבי רכב,אל עוקבי סמיח,188381.23,648396.33,07:00 - 17:00,07:00 - 12:30,4.5
מויס נאדר את פדלון מוסך האחים,מוסך מורשה,אצל 1,רמלה,08-9220510,מכונאות רכב בנזין,מויס נאדר,188116.65,648471.73,07:00 - 16:00,07:00 - 12:00,4.5
כהנא אברהם מוסך מרום חן,מוסך מורשה,המסגר 15,תל אביב -יפו,03-6871021,מכונאות רכב בנזין,כהנא אבי,179847.38,663361.97,07:00 - 16:30,סגור,4.8
אסרף ליאור מוסך הסלע,מוסך מורשה,אהוד קינמון 6,בת ים,03-5511904,מכונאות רכב בנזין,איזמירלי שמואל,176624.76,657890.58,07:00 - 16:00,סגור,3.4
מעוז שרותי רכב ת א בע מ,מוסך מורשה,טברסקי 13,תל אביב -יפו,03-5617663,מכונאות רכב בנזין,עמית צדוק,180226.77,663740.05,07:00 - 16:30,07:00 - 12:30,4.9
מוסך סבנה בע מ,מוסך מורשה,התחיה 14,תל אביב -יפו,03-6829252,מכונאות רכב בנזין,חן דוד,177701.31,661988.5,07:00 - 16:00,07:00 - 13:00,4.2
שלומי איסקוב פחחות וצבע בע מ,מוסך מורשה,תושיה 7,תל אביב -יפו,052-5513537,תיקון מרכבי רכב,שלומי איסקוב,180201.13,663799.23,07:00 - 16:30,07:00 - 13:00,3.7
קשר רנט א-קאר בע מ,מוסך מורשה,מגשימים 10,פתח תקווה,03-9182111,תיקון מרכבי רכב,אלג'ם מאיר,186343.3,666331.27,07:00 - 16:30,07:00 - 12:00,3.4
חמני ברוך חשמל רכב,מוסך מורשה,הס 29,הרצלייה,03-9584808,מכונאות רכב בנזין,חמני ברוך,185259.68,674481.47,07:00 - 17:00,07:00 - 12:00,3.3
מ.ב. גבע שרותי רכב בע מ,מוסך מורשה,תושיה 24,תל אביב -יפו,03-5621883,מכונאות רכב בנזין,ברון יוסף,180361.77,663745.82,07:00 - 16:00,07:00 - 12:00,3.8
מוסך דוד מלכי,מוסך מורשה,שניצלר 23,תל אביב -יפו,03-6837398,מכונאות רכב בנזין,מלכי דוד,177808.53,662302.51,07:00 - 16:30,07:00 - 12:00,3.5
פרמון דני מוסך מרקו,מוסך מורשה,יפתח 5,לוד,08-9247961,מכונאות רכב בנזין,פרמון דני,189037.83,650688.17,07:00 - 16:30,07:00 - 13:00,3.8
יהודה אלול - מוסך האומנים י.א,מוסך מורשה,שניצלר 3,תל אביב -יפו,03-5504966,תיקון מרכבי רכב,לוי אהרון,177877.6,662554.88,07:00 - 16:30,סגור,4.3
חדד צביקה מכונאות רכב,מוסך מורשה,רמבם 11,נתניה,052-3582902,מכונאות רכב בנזין,חדד הרצל,186985.85,691352.89,07:00 - 17:00,סגור,4.2
אמסלם שלמה חשמל הגינגי',מוסך מורשה,העבודה 30,בת ים,03-5514147,חשמלאות רכב,אמסלם שלמה,176353.78,657259.76,07:00 - 17:00,סגור,3.4
א.ע.מ שרותי רכב  איימן אבו צעלוק,מוסך מורשה,שלמה 15,תל אביב -יפו,03-6814128,תיקון מרכבי רכב,מלכי יעקב,181428.21,663150.08,07:00 - 16:00,סגור,4.6
בני רומי צמיגים,מוסך מורשה,האורגים 6,חולון,052-6734437,תיקון והחלפת צמיגים,דיבירוב אלכס,181139.59,657587.52,07:00 - 16:00,סגור,4.6
מוסך טופז בע מ,מוסך מורשה,שלמה בן דוד 12,ראשון לציון,03-9698095,מכונאות רכב בנזין,עקרבי אבנר,182421.49,654115.94,07:00 - 16:30,סגור,4.7
מוטורוני  לפיד בע ם,מוסך מורשה,ראם 6,תל אביב -יפו,03-5621104,מכונאות רכב בנזין,סמן טוב יהודה,180256.72,663926.66,07:00 - 17:00,07:00 - 12:00,4.1
אופיר המכונאי האקדמאי בע מ,מוסך מורשה,הרכב 12,תל אביב -יפו,050-8345200,מכונאות רכב בנזין,רודניצקי אופיר,180019.92,663343.25,07:00 - 16:00,07:00 - 12:00,4.9
מרכז שרות אוטו שי בע מ,מוסך מורשה,האצל 21,ראשון לציון,03-6335193,מכונאות רכב בנזין,לוי יעקב,177876.7,655207.26,07:00 - 17:00,07:00 - 12:00,3.9
מוסך אחים קצב בע מ,מוסך מורשה,הבנאי 24,חולון,03-5508621,מכונאות רכב בנזין,הזז ליאופולד,181574.53,657941.66,07:00 - 16:00,07:00 - 12:30,4.8
מוסך רון אוחנה בע מ,מוסך מורשה,ישראל בק 18,תל אביב -יפו,03-5373204,מכונאות רכב בנזין,אוחנה רון,180294.07,663957.24,07:00 - 17:00,07:00 - 13:00,3.4
מוסך החולץ,מוסך מורשה,דרך לוד 98,תל אביב -יפו,03-6870263,מכונאות רכב בנזין,אביבי אבנר,181177.18,661573.61,07:00 - 16:00,סגור,4.4
ברכיל סאני חשמל רם,מוסך מורשה,משה שרת 14,ראשון לציון,03-9614157,חשמלאות רכב,ברכיל סאני,176765.4,655762.85,07:00 - 17:00,סגור,3.8
עמר שלמה,מוסך מורשה,תל חי 8,רמלה,08-9228151,תיקון אחזקת רכב חשמלי/היברידי,עמר אייל,188565.12,648161.15,07:00 - 16:30,סגור,3.1
מרי יוסף מוסך רם,מוסך מורשה,שונצינו 25,תל אביב -יפו,03-5620101,מכונאות רכב בנזין,שער אהרון,180140.64,663958.79,07:00 - 17:00,07:00 - 12:30,3.8
עמירם רייזברג מוסך סער,מוסך מורשה,שוקן 17,תל אביב -יפו,03-6822916,מכונאות רכב בנזין,כץ אילן,178657.65,662256.19,07:00 - 16:30,סגור,3.1
מוסך דיזל ראשלצ בעמ,מוסך מורשה,משה שרת 8,ראשון לציון,03-9527277,מכונאות רכב בנזין,סגמן רוני,176632.66,655844.99,07:00 - 16:30,07:00 - 13:00,4.8
עידן - י.ל.מ. מרכז הרכב בע מ,מוסך מורשה,שניצלר 14,תל אביב -יפו,03-5095702,תיקון מרכבי רכב,פבלוב ולדימיר,177832.15,662422.28,07:00 - 16:00,07:00 - 12:30,4.1
לוי חיים מוסך ראלינג,מוסך מורשה,שניצלר 21,תל אביב -יפו,03-6833184,מכונאות רכב בנזין,לוי חיים,177812.3,662315.12,07:00 - 16:00,07:00 - 12:30,4.4
אוטו בנץ בע מ,מוסך מורשה,הסוללים 6,תל אביב -יפו,03-5617044,מכונאות רכב בנזין,דיין יעקב,180849.1,664232.33,07:00 - 16:30,07:00 - 13:00,3.1
פנחס שי מוסך מירז,מוסך מורשה,אחד העם 7,נתניה,09-8612236,מכונאות אופנועים וקטנועים,פנחס שי,186989.96,692628.36,07:00 - 16:00,07:00 - 13:00,4.6
נמרודי משה דודג רובר מכונאות,מוסך מורשה,אילת 45,תל אביב -יפו,03-5174214,מכונאות רכב בנזין,נמרודי משה,177983.8,662905.07,07:00 - 16:30,סגור,4.5
מוסך ישראל טורס בעמ,מוסך מורשה,היצירה 37,רחובות,08-9461886,מכונאות רכב בנזין,טורס ישראל,179605.08,644142.54,07:00 - 17:00,07:00 - 13:00,3.1
אמנון ינאי רדייטורים ואגזוזים,מוסך מורשה,הסדנא 2,פתח תקווה,03-9248978,תיקון רדיאטורים )מצננים),אמנון ינאי,186912.37,666967.81,07:00 - 16:00,07:00 - 13:00,4.8
מוסך שחם ובניו בעמ,מוסך מורשה,היוזמים 3,אור יהודה,04-5330193,תיקון מרכבי רכב,שמוחה שלמה,187291.05,658793.86,07:00 - 16:30,07:00 - 12:30,3.7
מוסך גלי בע מ,מוסך מורשה,האצל 7,ראשון לציון,03-9619348,מכונאות רכב בנזין,כהן יעקב,178130.94,655072.05,07:00 - 17:00,07:00 - 12:30,3.2
זאדה מוסך,מוסך מורשה,אצל 62,תל אביב -יפו,03-6875164,מכונאות אופנועים וקטנועים,זדה משה,180551.05,661841.91,07:00 - 16:00,07:00 - 12:00,3.2
ב.ע.ל צמיגי אקסטרא (2008) בע מ,מוסך מורשה,אורט 12,נתניה,09-8945024,תיקון והחלפת צמיגים,שרעבי יהודה,188489.15,691485.55,07:00 - 17:00,סגור,3.7
אם.וי אס מוטור בע מ,מוסך מורשה,תמנע 21,חולון,052-2957692,מכונאות רכב בנזין,אלון אלי,181254.5,659033.01,07:00 - 16:00,07:00 - 12:00,3.3
לוי חנן מוסך חנן,מוסך מורשה,הרכב 14,נתניה,09-8619146,מכונאות רכב בנזין,לוי חנן,188502.9,691286.08,07:00 - 16:00,07:00 - 13:00,4.4
קומפיוטסט הנדסת ציוד לרכב בע מ,מוסך מורשה,החרוץ 3,תל אביב -יפו,03-5376418,בדיקות-רכב )קניה ומכירה),טפירו אלי,180264.61,663310.1,07:00 - 16:00,סגור,3.7
מוסך יהודה ויאיר בע מ,מוסך מורשה,שטיבל 5,תל אביב -יפו,03-5621778,תיקון מרכבי רכב,רביע סבח יאיר,180149.51,663741.37,07:00 - 16:00,07:00 - 12:00,3.4
מוסכי אביק שרותי רכב בעמ,מוסך מורשה,המנוע 3,תל אביב -יפו,03-6831216,תיקון מרכבי רכב,פלומר חיים,177964.05,661984.53,07:00 - 16:00,07:00 - 12:30,3.1
מסה ניסים,מוסך מורשה,סלמה 12,תל אביב -יפו,03-6829112,רפידות ותופי בלם,מסה ניסים,179067.4,664981.81,07:00 - 16:30,סגור,3.6
דור ניסים מוסך דור מוטורס,מוסך מורשה,היוגב 18,חולון,03-5560631,מכונאות רכב בנזין,דור ניסים,181759.03,657873.68,07:00 - 17:00,07:00 - 12:30,3.6
ג.מ פורטל בע מ,מוסך מורשה,ריבל 27,תל אביב -יפו,03-6875858,תיקון והחלפת צמיגים,ברקוביץ יועד,179721.82,663342.27,07:00 - 16:30,07:00 - 12:30,3.3
ר. נאם שרות וחלפים בע מ,מוסך מורשה,תמנע 1,חולון,03-6030819,מכונאות רכב בנזין,אורלביץ רן,180913.23,659342.99,07:00 - 16:30,07:00 - 12:30,4.0
מוסך מילניום ח.ר.בעמ,מוסך מורשה,משה שרת 2,ראשון לציון,03-9614393,מכונאות רכב בנזין,שבתאי בנימין,176505.77,655918.64,07:00 - 17:00,07:00 - 13:00,4.6
אבניר חב' לרכב בע מ,מוסך מורשה,המנור 5,תל אביב -יפו,03-6815511,תיקון אחזקת רכב חשמלי/היברידי,כהן בועז,178564.03,662164.63,07:00 - 16:00,07:00 - 12:00,4.8
אריה כהן שרותי חשמל ומיזוג לרכב,מוסך מורשה,בצלאל 4,חולון,03-5594688,חשמלאות רכב,כהן אריה,180401.53,657913.66,07:00 - 16:00,07:00 - 13:00,3.0
יעקב את אבי שרות חשמל המצבר,מוסך מורשה,שלם 2,רמת גן,03-6312998,חשמלאות רכב,טיפצק אברהם,182498.33,662306.64,07:00 - 17:00,07:00 - 13:00,4.1
