Name,Type,Address,City,Phone,Services,Manager,X,Y,Week days,Friday,Rating
אמרד רדיאטורים בע מ,מוסך מורשה,השלושה 1,תל אביב -יפו,03-5371656,תיקון רדיאטורים )מצננים),רשקוב אורן,180177.93,663288.25,07:00 - 16:00,סגור,4.6
אלעיסאוי עומר צמיגי טופ טיפ,מוסך מורשה,התחייה 22,תל אביב -יפו,03-6819399,תיקון והחלפת צמיגים,אלעיסאוי עומר,177915.74,661893.89,07:00 - 17:00,סגור,3.7
צמיגי השדרה כריסטו,מוסך מורשה,שד ירושלים 127,תל אביב -יפו,03-6838895,תיקון והחלפת צמיגים,גנדור קריסטו,177276.77,661262.86,07:00 - 16:00,07:00 - 12:00,3.2
מדיאל רונן מוסך בן יהודה,מוסך מורשה,אנילביץ 38,תל אביב -יפו,03-6886293,מכונאות רכב בנזין,מדיאל רונן,180173.81,663334.3,07:00 - 17:00,07:00 - 12:30,3.6
ד ר פח וצבע מרכז בע מ,מוסך מורשה,האופן 6,חולון,03-5501250,מכונאות רכב בנזין,יאיר נאור,181234.65,658871.6,07:00 - 16:00,07:00 - 12:30,4.4
מוסך הוכמן בע מ,מוסך מורשה,שניצלר 9,תל אביב -יפו,03-6829283,מכונאות רכב בנזין,אזברגה עטאללה,177868.51,662491.35,07:00 - 17:00,סגור,3.3
משומר מוסך,מוסך מורשה,סלמה 42,תל אביב -יפו,03-6812717,תיקון מרכבי רכב,משומר ראובן,179129.45,665267.82,07:00 - 16:30,07:00 - 12:30,3.0
אשר חן מוסך הנסיכה,מוסך מורשה,היצירה 8,רחובות,08-9469113,תיקון מרכבי רכב,בן חמו דוד,179393.73,643972.51,07:00 - 17:00,07:00 - 12:30,3.3
מוסך א.ד.מ. אבו קעיד אחמד,מוסך מורשה,המנוע 1,תל אביב -יפו,03-5182243,תיקון מרכבי רכב,סייג יוסף,177936.32,661977.88,07:00 - 16:30,07:00 - 12:00,3.6
רכב המאה ניב פורמן בע מ,מוסך מורשה,ברקת 10,נתניה,09-8627693,מכונאות רכב בנזין,פורמן ניב,187138.49,692775.97,07:00 - 17:00,07:00 - 12:30,4.1
רועי את מנצור דוקטורי 2000,מוסך מורשה,יצירה 5,אור יהודה,03-5336488,חשמלאות רכב,אלגברין מנסור,187180.93,658799.49,07:00 - 16:00,07:00 - 13:00,4.3
עויס האני מוסך אור לוד,מוסך מורשה,יעקב פלומניק 2,לוד,08-9224290,חשמלאות רכב,ברגר ישראל,189911.93,651263.36,07:00 - 17:00,07:00 - 13:00,3.7
נתנאל גזי בע מ,מוסך מורשה,יעקב פרימן 8,ראשון לציון,03-9640559,תיקון מרכבי רכב,גזי נתניאל,182326.26,653705.28,07:00 - 17:00,07:00 - 12:00,4.3
המוסך המרכזי לאופנועים אמיגה,מוסך מורשה,שוקן 30,תל אביב -יפו,03-6823240,מכונאות אופנועים וקטנועים,אמיגה אברהם,178618.24,662127.24,07:00 - 17:00,07:00 - 12:00,4.9
אוטו גיר בע מ,מוסך מורשה,הסתת 22,חולון,03-5509577,תיקון תיבות הילוכים אוטומטיות,שרידי משה,181193.33,657729.13,07:00 - 17:00,07:00 - 12:30,4.2
אלקס מאיר _ אגזוז,מוסך מורשה,ספיר 8,נתניה,09-8342767,תיקון צנורות פליטה ודודי עמם,אלקס מאיר,187027.6,692742.36,07:00 - 16:00,07:00 - 12:00,3.6
חן יוסף קטנועי חן,מוסך מורשה,אילת 38,תל אביב -יפו,03-6827442,מכונאות אופנועים וקטנועים,חן יוסף,177994.49,662887.5,07:00 - 16:30,סגור,4.8
גרוסמן אריה מכונאות רכב,מוסך מורשה,לבנדה 47,תל אביב -יפו,054-6683566,מכונאות רכב בנזין,גרוסמן אריה,179681.22,662847.81,07:00 - 16:00,סגור,4.0
מוסך ריזק,מוסך מורשה,פוריה 6,תל אביב -יפו,03-6813694,מכונאות רכב בנזין,דלק ריזק,177559.25,662531.64,07:00 - 16:00,סגור,4.9
מוטו מד קסם תומר וגיל אביעד,מוסך מורשה,מוזס 24,תל אביב -יפו,03-6952591,מכונאות אופנועים וקטנועים,צרפתח נסים,180799.84,664758.13,07:00 - 16:30,07:00 - 12:00,4.6
עמיאל ג'רבי - פחחות עמיאל יוסף,מוסך מורשה,הפלדה 8,נתניה,052-6888337,תיקון מרכבי רכב,גרבי עמיאל קל,188728.83,691989.27,07:00 - 16:30,סגור,4.4
שרותי רכב ישראל ואבי בע מ,מוסך מורשה,יקואל 13,בת ים,03-5525841,מכונאות רכב בנזין,בר יוסף אברהם,176383.37,657425.62,07:00 - 17:00,07:00 - 13:00,4.3
מוסך שי געש,מוסך מורשה,היוצר 22,חולון,03-5568935,מכונאות רכב בנזין,ארליך שלמה,181645.46,657903.95,07:00 - 17:00,07:00 - 12:30,3.1
עזריאל רונן מוסך אור קור,מוסך מורשה,הבנאי 19,חולון,03-5567733,חשמלאות רכב,עזריאל רונן,181550.21,657831.19,07:00 - 16:30,07:00 - 12:30,4.8
מכאל את רפאל את דורון מוסך הצוות,מוסך מורשה,המלאכה 25,חולון,03-5581244,חשמלאות רכב,שלומיוב מיכאל,181428.5,658246.58,07:00 - 16:00,סגור,4.7
גוטפריד אלכסנדר מוסך א.א.,מוסך מורשה,הפלדה 4,בת ים,03-5518504,מכונאות רכב בנזין,גוטפריד אלכסנדר,175849.73,657119.79,07:00 - 16:00,07:00 - 12:30,4.9
מוסך אדמונד עשה לי טוב בעמ,מוסך מורשה,הסתת 10,חולון,03-6500613,מכונאות רכב בנזין,לוי רפאל,181296.57,657869.86,07:00 - 16:00,סגור,4.8
מוסך זני רחובות בע מ,מוסך מורשה,קלמן גבריאלוב 38,רחובות,08-9462642,מכונאות רכב בנזין,חן זני,179676.39,644149.59,07:00 - 16:00,07:00 - 12:00,4.0
פרג' רחמים שרותי רכב,מוסך מורשה,תושיה 4,תל אביב -יפו,03-5614645,מכונאות רכב בנזין,פרג' רחמים,180133.91,663787.99,07:00 - 17:00,07:00 - 12:00,3.8
מוסך אשכנזי אליהו,מוסך מורשה,הלוחמים 47,חולון,03-5033491,מכונאות רכב בנזין,אשכנזי אליהו,178395.8,660155.39,07:00 - 16:00,07:00 - 12:00,3.8
ניסים תמם מוסך א-א,מוסך מורשה,החרוץ 11,תל אביב -יפו,03-5373091,חשמלאות רכב,ניסים תמם,180226.65,663384.4,07:00 - 16:30,סגור,3.4
צמיגי זיתוני,מוסך מורשה,בצלאל 6,חולון,03-5500840,תיקון והחלפת צמיגים,זיתוני יצחק,180420.83,657945.33,07:00 - 17:00,07:00 - 13:00,4.1
מגרש י.ש.אוחנה בע מ,מוסך מורשה,שד ההסתדרות 141,חיפה,04-8412800,מכונאות אופנועים וקטנועים,אוחנה יצחק,205113.42,745178.31,07:00 - 16:30,07:00 - 12:30,3.2
דרויש גורג חשמל רכב צפון,מוסך מורשה,עין דור 12,חיפה,04-8524160,מכונאות רכב בנזין,עג'ינה מארון,199879.67,747362.59,07:00 - 16:30,07:00 - 13:00,3.1
ג יי גז בע מ מכונאות גפמ' לרכב,מוסך מורשה,שד ההסתדרות 182,חיפה,04-8401174,מכונאות רכב בנזין,אוברלנדר יוסף,206116.92,745813.62,07:00 - 17:00,07:00 - 13:00,3.9
מסעוד שיתי מוסך,מוסך מורשה,שד ההסתדרות 176,חיפה,04-8727700,תיקון מרכבי רכב,מסעוד שיתי,206056.06,745807.01,07:00 - 16:00,סגור,4.9
בדר סראחנה - מוסך ויינר 2018,מוסך מורשה,האיטלקים 5,חיפה,052-6352192,תיקון מרכבי רכב,סראחנה בדר,199674.66,747227.07,07:00 - 16:30,סגור,3.4
מוסך מילאד בדיע יוסף בע מ,מוסך מורשה,תל אביב 18,חיפה,04-8525656,מכונאות רכב בנזין,בשיר סאמי,199101.83,747899.11,07:00 - 17:00,07:00 - 12:30,4.7
אלקובי משה - אלקובי אלברט ובנו,מוסך מורשה,ביאליק 6,חיפה,04-8623981,מכונאות אופנועים וקטנועים,אלקובי משה,200209.12,746388.33,07:00 - 16:30,07:00 - 12:00,4.1
מנו שמואל - מוסך מנו,מוסך מורשה,חטיבת גולני 48,חיפה,04-8667311,מכונאות רכב בנזין,מרום משה,201067.69,745855.2,07:00 - 16:30,07:00 - 12:30,3.4
אליצור אמנון ויוסי שמש מוסך צפון,מוסך מורשה,אלנבי 48,חיפה,04-8523995,מכונאות רכב בנזין,אליצור אמנון,199425.95,747158.27,07:00 - 16:00,סגור,3.4
זוננברג דב מוסך יאב חיפה,מוסך מורשה,אלנבי 44,חיפה,04-8521813,מכונאות אופנועים וקטנועים,זוננברג דב,199494.74,747149.01,07:00 - 16:30,סגור,4.8
חולי משה - מוסך חולי לפחחות וצבע,מוסך מורשה,תל אביב 7,חיפה,04-8522686,תיקון מרכבי רכב,חולי משה,180569.13,665119.51,07:00 - 17:00,07:00 - 12:30,3.9
גאנית עזאם מוסך פיליפ,מוסך מורשה,שד ההסתדרות 164,חיפה,04-8723485,מכונאות רכב בנזין,עזאם זאהר,205899.98,745718.88,07:00 - 16:00,סגור,4.1
קשר רנט - א- קאר בע מ,מוסך מורשה,שד ההסתדרות 150,חיפה,04-8402121,מכונאות רכב בנזין,עוסמאן עוסמאן,205763.72,745717.56,07:00 - 16:00,07:00 - 12:00,4.4
האחים נאג'ר בע מ,מוסך מורשה,שד ההסתדרות 31,חיפה,04-8415636,מכונאות רכב בנזין,נגאר סימון,203435.38,744038.78,07:00 - 16:00,07:00 - 12:00,3.2
מוסך וינה,מוסך מורשה,שד ההסתדרות 154,חיפה,04-8721540,תיקון מרכבי רכב,עודיה סמיר,205800.76,745732.11,07:00 - 17:00,סגור,3.6
מרכז שרות הבונים בע מ.,מוסך מורשה,תל אביב 20,חיפה,04-8414133,מכונאות רכב בנזין,נגאר גורג,199089.72,747905.64,07:00 - 16:30,סגור,5.0
נחלה נאדר פחחות רכב חיפה,מוסך מורשה,ההסתדרות 82,חיפה,04-8412511,תיקון מרכבי רכב,נחלי קסיס חנא,204129.07,744376.48,07:00 - 16:00,07:00 - 12:00,3.4
קליינברג זאב - עוצמת אור,מוסך מורשה,לבונטין 1,חיפה,04-8665639,חשמלאות רכב,קליינברג זאב,199801.62,746483.08,07:00 - 16:30,07:00 - 13:00,3.2
ק.ס מוסך שבתאי שמר  בע מ,מוסך מורשה,מרקוני 4,חיפה,04-8411914,מכונאות רכב בנזין,זילברברג בני,203269.96,743706.32,07:00 - 16:00,סגור,3.9
בולוס ג'יריס מוסך קרוזר למכונאות,מוסך מורשה,שד ההסתדרות 104,חיפה,04-8410959,מכונאות רכב בנזין,בולוס ג'ריס,204360.05,744522.56,07:00 - 16:30,07:00 - 12:00,4.4
שירותי רכב רוממה,מוסך מורשה,יוליוס סימון 49,חיפה,04-8419181,מכונאות רכב בנזין,בכר חיים,204570.13,746902.65,07:00 - 17:00,07:00 - 12:00,4.3
מוסך זיוד נאיף,מוסך מורשה,האשלג 21,חיפה,04-8723959,מכונאות רכב בנזין,נבו יצחק,204128.17,744070.21,07:00 - 16:30,07:00 - 12:00,4.4
מוסך שפיק וטל רכבים בע מ,מוסך מורשה,ההסתדרות 200,חיפה,04-8721496,מכונאות רכב בנזין,רפול גסאן,206373.15,745888.51,07:00 - 17:00,סגור,4.3
יאסין כמאל מוסך שמוליק 2018,מוסך מורשה,ההסתדרות 73,חיפה,04-8729983,מכונאות רכב בנזין,יאסין כמאל,204073.92,744443.88,07:00 - 16:30,סגור,4.4
גרוס שאדי עבודת פחחות וצבע בע מ,מוסך מורשה,אריה שנקר 9,חיפה,053-5205543,תיקון מרכבי רכב,גרוס שאדי,206047.71,746106.79,07:00 - 16:30,07:00 - 12:30,3.4
מועלם שלמה - תיקון אגזוזים,מוסך מורשה,חטיבת גולני 29,חיפה,04-8665284,תיקון צנורות פליטה ודודי עמם,מועלם שלמה,201241.15,745588.13,07:00 - 17:00,07:00 - 12:30,4.0
מוסך איילון.ס.(2006) שירות בע מ,מוסך מורשה,המרכבה 11,אשקלון,050-2705500,מכונאות רכב בנזין,שרביט סמי,161603.85,619556.34,07:00 - 17:00,07:00 - 12:30,3.1
מוסך ברק ב ש )מ.ג.י.י.( בע מ,מוסך מורשה,המלאכה 24,באר שבע,08-6230996,מכונאות רכב בנזין,זילברמן יצחק,180421.73,571816.61,07:00 - 16:00,סגור,4.1
עמיגל סוכנויות ושירותים בע מ,מוסך מורשה,הפלדה 25,באר שבע,08-6270911,מכונאות רכב בנזין,אבו גניים סלאמה,182046.28,570132.53,07:00 - 17:00,סגור,4.7
גריסי את שטרית - דוד את אהרון,מוסך מורשה,הפלדה 36,באר שבע,08-6230226,מכונאות רכב בנזין,אלגריסי הנרי,181974.84,570088.88,07:00 - 16:00,סגור,4.9
מוסך צמרת - אביעד תומר,מוסך מורשה,התעשייה 29,אשקלון,052-8286652,מכונאות רכב בנזין,אביעד שמואל,162012.63,619831.8,07:00 - 17:00,07:00 - 13:00,4.0
א.ח . המבריק פחחות וצבע בע מ,מוסך מורשה,הנגרים  10,באר שבע,08-6274754,תיקון מרכבי רכב,אמר אלברט,181292.11,572395.91,07:00 - 16:30,סגור,3.0
מוסך א.ש. שירותי מכונאות - אביב,מוסך מורשה,הכישור 16,אשקלון,08-6750620,מכונאות רכב בנזין,חטאב יהודה,161992.21,619207.51,07:00 - 16:30,07:00 - 13:00,3.3
רובל משה תיקון רדיאטורים,מוסך מורשה,אבן עזרא 2,אשקלון,08-6750285,תיקון רדיאטורים )מצננים),רובל משה,161201.1,619550.15,07:00 - 16:00,07:00 - 12:00,4.8
אוטו - טופ בנגב בע מ,מוסך מורשה,הפועלים 13,באר שבע,08-6652191,בדיקות-רכב )קניה ומכירה),דמרי מאיר,181875.95,570523.31,07:00 - 17:00,07:00 - 12:00,4.2
צמיגי בן אליהו בע מ,מוסך מורשה,הפנינים 2,אשקלון,08-6751370,תיקון והחלפת צמיגים,אליהו חיים,161804.31,618978.84,07:00 - 16:00,07:00 - 12:30,3.5
מלגזות הדרום בע מ,מוסך מורשה,הבדיל 24,באר שבע,052-3960336,אישור כשירות לצמ ה ומכונה ניידת,מארק גיל,181800.81,570451.97,07:00 - 16:00,סגור,3.9
אור - צת שרותי רכב בע מ,מוסך מורשה,בית הדפוס 24,ירושלים,02-6514446,מכונאות רכב בנזין,הרשקוביץ יהושוע,217578.0,632636.0,07:00 - 17:00,סגור,3.5
מימד מרכז שירות בע מ,מוסך מורשה,הבדיל 21,באר שבע,053-6670074,מכונאות רכב בנזין,דנינו אורי הרצ,181846.35,570478.37,07:00 - 17:00,07:00 - 12:30,3.5
מוסך אשקלון - גויטע גבעתי רחמים,מוסך מורשה,הגלגל 1,אשקלון,08-6751682,מכונאות רכב בנזין,גויטע רחמים,161739.71,619463.83,07:00 - 17:00,07:00 - 12:00,3.7
ב.מ עדן שירותי רכב בע מ,מוסך מורשה,הכישור 10,אשקלון,08-6750494,מכונאות רכב בנזין,גדיאן שלמה,161928.88,619076.22,07:00 - 16:30,07:00 - 13:00,4.7
זכוכית אשקלון בע מ,מוסך מורשה,הכישור  12,אשקלון,08-6750542,זגגות רכב,סלע עמי,161944.76,619094.74,07:00 - 17:00,סגור,4.0
מלכה חנניה מוסך הצוות,מוסך מורשה,מנחם יקואל 1,בת ים,03-5527035,מכונאות רכב בנזין,וידר מיקי,176239.84,657486.17,07:00 - 17:00,07:00 - 12:30,4.2
דרויש שלום מוסך היוזמים,מוסך מורשה,היוזמים 6,אור יהודה,04-5335210,מכונאות רכב בנזין,דרוויש אליהו,187315.8,658829.26,07:00 - 16:30,07:00 - 13:00,4.4
מוזס אברהם - צמיגי דוד,מוסך מורשה,תובל 16,רמת גן,03-7511074,תיקון והחלפת צמיגים,מוזס אלי,181628.39,666122.72,07:00 - 16:00,07:00 - 12:00,5.0
א.ד טקסי (2013) בע מ מוסך ארגמן,מוסך מורשה,לישנסקי 8,ראשון לציון,03-6874083,מכונאות רכב בנזין,יצחקוב שלמה,177998.53,655284.77,07:00 - 16:30,07:00 - 13:00,3.7
מטרו מוטור שווק (1981) בע מ,מוסך מורשה,הפלך 2,תל אביב -יפו,03-7294544,מכונאות אופנועים וקטנועים,מטלון איתי,177956.57,662011.34,07:00 - 17:00,07:00 - 13:00,4.1
און קור מאירי כפיר,מוסך מורשה,פנקס 16,נתניה,09-8841524,מכונאות רכב בנזין,מאירי כפיר,188351.46,691860.25,07:00 - 17:00,07:00 - 12:30,3.2
בלאיש דוד מוטו סקוטר קטנועים,מוסך מורשה,שלבים 12,תל אביב -יפו,03-6815769,מכונאות אופנועים וקטנועים,בלאיש משה,177943.24,662004.87,07:00 - 16:00,07:00 - 13:00,3.9
מוסך הרצל בראל טיפטופ שרותי רכב,מוסך מורשה,הסוללים 8,תל אביב -יפו,03-6241713,מכונאות רכב בנזין,בראל הרצל,180844.67,664211.22,07:00 - 17:00,07:00 - 13:00,3.8
עוזי דרויש צמיגי מוריס,מוסך מורשה,גזית 1,פתח תקווה,03-9346689,תיקון והחלפת צמיגים,דרויש מוריס,190449.53,667778.41,07:00 - 16:30,07:00 - 12:30,3.4
שומרון דוד צמיגי יהלום,מוסך מורשה,זבוטינסקי 4,רמת גן,03-7513223,תיקון והחלפת צמיגים,שומרון דוד,181465.67,665548.15,07:00 - 17:00,07:00 - 12:30,3.9
מוסך איציק,מוסך מורשה,ארבע ארצות 7,חולון,03-5047554,מכונאות רכב בנזין,קררו יצחק,178097.92,656796.96,07:00 - 17:00,07:00 - 12:30,3.7
נאוציצל ישראל חשמל רכב,מוסך מורשה,שכטרמן 20,נתניה,09-8846017,חשמלאות רכב,נאוציצל ישראל,188869.03,691819.97,07:00 - 16:30,07:00 - 12:30,4.4
איציק בו שושן מוסך,מוסך מורשה,האופן 10,חולון,03-5590175,מכונאות רכב בנזין,בן שושן יצחק,181260.8,658906.15,07:00 - 16:00,סגור,4.3
א.ב.רם גלס בע מ,מוסך מורשה,המלאכה 22,חולון,03-5569333,זגגות רכב,עמרני אברהם,181477.76,658490.76,07:00 - 16:00,07:00 - 12:00,3.5
ד . א . הרשת לצמיגים בע מ,מוסך מורשה,הפלד 21,חולון,03-5581992,מכונאות רכב בנזין,יחיא דוד,181230.38,658675.97,07:00 - 16:30,07:00 - 12:00,3.5
סימן טוב תיקון אופנועים,מוסך מורשה,מסילת ישרים 12,תל אביב -יפו,03-6881476,מכונאות אופנועים וקטנועים,סמן טוב שלמה,179011.81,661848.04,07:00 - 16:30,סגור,4.5
אמבר עזרא מוסך נייד  לי ,מוסך מורשה,הדקל 6,הרצלייה,03-9501024,מוסך נייד לחילוץ ולתיקוני חירום,אמבר עזרא,186088.43,675964.25,07:00 - 16:00,סגור,4.9
אהרון משה מוסך הפלד,מוסך מורשה,הפלד 30,חולון,03-5561812,תיקון מרכבי רכב,אהרון משה,181135.0,658705.68,07:00 - 16:30,07:00 - 12:00,4.2
ויקי גולן מצילי המכוניות,מוסך מורשה,שכטרמן 5,נתניה,050-5360013,צבעות רכב,בר מימון נסים,188289.64,691904.73,07:00 - 16:30,סגור,3.3
כהן ארזי רפי מוסך ארזים,מוסך מורשה,פרשקובסקי 2,ראשון לציון,03-9697690,מכונאות רכב בנזין,כהן ארזי,182297.02,653645.68,07:00 - 17:00,07:00 - 12:00,3.9
בנימין מכון האחים,מוסך מורשה,האורג 6,נתניה,09-8620876,מכונאות רכב בנזין,זליג בנימין,188291.49,691700.38,07:00 - 16:30,סגור,4.0
מוסך אור אל  א.ב.א.  בע מ,מוסך מורשה,אורט ישראל 46,בת ים,03-5518223,תיקון מרכבי רכב,חגג משה,176133.41,657428.11,07:00 - 16:30,07:00 - 12:00,3.9
חג'ג' מאיר מוסך מרתון,מוסך מורשה,המסגר 18,נתניה,09-8619344,צבעות רכב,חגג מאיר,188520.27,691951.5,07:00 - 16:30,07:00 - 12:00,4.5
רובס בני מכונאות,מוסך מורשה,הפלדה 18,נתניה,09-8621265,מכונאות רכב בנזין,עומר סאמר,188673.72,691623.42,07:00 - 16:00,07:00 - 12:00,3.6
קונברטורים בע מ,מוסך מורשה,המסגר 56,תל אביב -יפו,03-5616777,תיקון תיבות הילוכים אוטומטיות,קסלר זוהר,180033.94,663792.2,07:00 - 17:00,07:00 - 13:00,4.4
איגור את לונגו מוסך בימר,מוסך מורשה,אורט ישראל 32,בת ים,03-5530686,מכונאות רכב בנזין,ניקיטין איגור,176196.35,657538.47,07:00 - 16:30,07:00 - 12:00,4.0
ביטון חיים מוסך צמרת,מוסך מורשה,האורגים 17,בת ים,03-5535041,מכונאות רכב בנזין,חן שלום,176079.93,657468.35,07:00 - 16:00,07:00 - 12:30,4.5
שחל חשמלאות רכב אלכס,מוסך מורשה,כצנלסון 19,לוד,08-9246675,חשמלאות רכב,אבו שלח אלכסנדר,190197.64,651338.52,07:00 - 17:00,07:00 - 12:30,3.2
משה שחרור מוסך הנכון,מוסך מורשה,המרכבה 4,חולון,03-5504515,מכונאות רכב בנזין,אליהו ניסן,181700.07,658451.3,07:00 - 17:00,07:00 - 13:00,4.1
ויקטור גרסי צבעות רכב,מוסך מורשה,אברבנאל 55,תל אביב -יפו,03-6826507,צבעות רכב,ויקטור גרסי,178129.89,662467.78,07:00 - 16:30,07:00 - 12:00,3.7
מוסך אורן את חנן בע מ,מוסך מורשה,ריבל 31,תל אביב -יפו,03-6873767,מכונאות רכב בנזין,חנן טל,179746.5,663344.88,07:00 - 17:00,07:00 - 12:00,3.6
סטופ ביג ליס קאר בע מ,מוסך מורשה,עמל 6,נתניה,050-768787,תיקון מרכבי רכב,קילנר ראובן,188279.32,691794.7,07:00 - 17:00,סגור,4.0
מוסך השושנים יצחק יברגימוב,מוסך מורשה,המסגר 7,בת ים,03-5526185,מכונאות רכב בנזין,צרפתי משה,176386.75,657530.01,07:00 - 16:00,07:00 - 13:00,3.3
ש.צ מוסך דרור בע מ,מוסך מורשה,המלאכה 53,חולון,03-5598365,אוטוטק רכב קל,יעקבי צפריר,181166.94,657910.78,07:00 - 16:30,סגור,3.8
ממסי שרותי דרך וגרירה בע מ,מוסך מורשה,הרצל 132,תל אביב -יפו,03-6821702,מכונאות אופנועים וקטנועים,עאזאר נביל,178457.34,662307.87,07:00 - 17:00,07:00 - 13:00,4.8
נג'ארי אבי מוסך מושון,מוסך מורשה,לבנדה 42,תל אביב -יפו,03-6877783,מכונאות רכב בנזין,נג'ארי אבי,179682.37,662773.54,07:00 - 16:00,סגור,4.1
מייזל את מאיר מוסך נירון,מוסך מורשה,הרקון 5,רמת גן,03-7515416,מכונאות רכב בנזין,מייזל ניר,181347.9,665845.45,07:00 - 16:00,07:00 - 12:30,4.9
מוסך אבי צלח שרותי רכב בע מ,מוסך מורשה,שונצינו 15,תל אביב -יפו,03-6877439,מכונאות רכב בנזין,הררי מאיר,180094.93,663813.23,07:00 - 16:00,סגור,4.4
שיא סוכנויות רכב שחודה 2000 בע מ,מוסך מורשה,פנקס 9,נתניה,052-4686355,מכונאות רכב בנזין,פיירמן יהודה,188409.1,692057.26,07:00 - 16:00,סגור,4.9
הילוך שישי מערב ראשון בע מ,מוסך מורשה,שרת 23,ראשון לציון,052-2092700,אוטוטק רכב קל,אביב תמיר,176996.81,655697.85,07:00 - 16:30,סגור,3.5
חסן את אברהים מוסך שבח,מוסך מורשה,הבנאי 11,חולון,03-5591414,מכונאות רכב בנזין,שבח אלי,181646.22,657980.97,07:00 - 17:00,07:00 - 13:00,3.4
צמיגי איתן כחלון הרצליה בע מ,מוסך מורשה,המנופים 5,הרצלייה,03-9547515,תיקון והחלפת צמיגים,כהן איתן,181973.24,674197.21,07:00 - 17:00,סגור,4.8
חיו יחזקאל מוסך אמיר וחזי,מוסך מורשה,יצחק שדה 5,תל אביב -יפו,03-5611987,מכונאות רכב בנזין,כהן שחר יצחק,179806.73,663703.87,07:00 - 16:00,סגור,4.8
צרפתי יהודה וישראל בעמ,מוסך מורשה,המשביר 20,חולון,03-5569536,תיקון מרכבי רכב,צרפתי ישראל,181661.11,657806.29,07:00 - 17:00,07:00 - 13:00,4.7
מוטו פיקס בע מ,מוסך מורשה,בית אלפא 9,תל אביב -יפו,03-6188097,מכונאות אופנועים וקטנועים,שביל גרשון,180187.81,663692.39,07:00 - 17:00,07:00 - 12:00,3.7
טל קדם אופנועי הבורסה,מוסך מורשה,תובל 15,רמת גן,03-7515308,מכונאות אופנועים וקטנועים,טל קדם,181565.26,665946.35,07:00 - 17:00,07:00 - 12:00,4.8
מוסך גולי בע מ,מוסך מורשה,משה בקר 32,ראשון לציון,03-9659395,תיקון מרכבי רכב,גולי מרדכי,182260.72,654047.86,07:00 - 16:00,סגור,3.6
פניני משה מוסך פניני,מוסך מורשה,גנוסר 4,תל אביב -יפו,03-6918976,תיקון מרכבי רכב,פניני משה,180798.45,664729.76,07:00 - 16:00,סגור,3.4
וויס אברהם מוסך גחלת,מוסך מורשה,פלוטיצקי 3,ראשון לציון,03-9692085,מכונאות רכב בנזין,אברהם וויס,182461.0,654588.99,07:00 - 16:30,07:00 - 12:30,4.1
כהן ארז אגזוזים,מוסך מורשה,בקר משה 18,ראשון לציון,03-9643086,תיקון צנורות פליטה ודודי עמם,כהן ארז,182169.96,653672.21,07:00 - 16:00,07:00 - 12:00,3.5
א.ר. ניר רחובות בע מ,מוסך מורשה,היצירה 20,רחובות,08-9361787,מכונאות רכב בנזין,קפלן שי,179597.0,644036.96,07:00 - 16:00,07:00 - 12:00,4.3
שלמה שקורי מוסך הודיה,מוסך מורשה,מיקוניס 6,תל אביב -יפו,03-6871197,מכונאות רכב בנזין,באומל יוחנן,179855.51,663042.21,07:00 - 16:00,07:00 - 12:30,3.8
.צלאל רועי גלגלי העיר,מוסך מורשה,שמוטקין 20,ראשון לציון,03-9654610,תיקון והחלפת צמיגים,בצלאל רועי,182285.59,653617.05,07:00 - 16:00,סגור,3.3
מרכז שרות תכלת בע מ,מוסך מורשה,האצל 10,ראשון לציון,03-6238000,מכונאות רכב בנזין,אבי נחמיאס,178027.24,655205.06,07:00 - 16:00,07:00 - 13:00,4.1
א.ה.ק. האחים בע מ,מוסך מורשה,יד חרוצים 5,הרצלייה,09-9566708,מכונאות רכב בנזין,חטיב עבד אלחלים,182186.33,674475.94,07:00 - 16:00,07:00 - 12:30,4.2
מאיה את לייבה מוסך קינג קארס,מוסך מורשה,המרץ 4,פתח תקווה,03-9236343,תיקון מרכבי רכב,מלוב אולג,186485.84,666692.36,07:00 - 16:00,07:00 - 13:00,4.3
